epoch,acc,loss,val_acc,val_loss
0,0.6435626270325203,1.0770360766720724,0.8516341743119266,0.4933294826144472
1,0.7351511879049676,0.8260806412879189,0.8527554534332897,0.4572726200697206
2,0.7506670054630924,0.7853577101023129,0.8709816303099885,0.43165182759375853
3,0.759417481895566,0.7617694680322127,0.8836107921244493,0.39824595157779863
4,0.7629748443578193,0.7552570431133402,0.885619976969455,0.3956378210425788
5,0.7613549739550248,0.7490998189174574,0.8884902411021814,0.37802500466802225
6,0.7662145851785536,0.7424413647316657,0.8783008036055056,0.40782231821258363
7,0.7640388768822761,0.7411590389459625,0.8820321468890877,0.38060010287025353
8,0.768580866464286,0.7354788300558204,0.8838978185993112,0.3829485159174857
9,0.7696925422436793,0.7286631842305344,0.8827497129735936,0.38662051552335647
